1	GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	1	322	334
148	YNL095C	374.1570734	1.568896077	0.5010588	3.131161912	0.001741161	0.099705095	161.7925236	395.8919169	564.78678
149	YFL030W	372.964922	1.563371784	0.5093032	3.069629042	0.002143248	0.115897484	161.7925236	379.6106476	577.491595
150	YPL248C	371.909326	1.507858567	0.4826112	3.124375094	0.001781832	0.099705095	166.78612	439.5942714	509.347586
151	YOL104C	376.5942509	1.488605135	0.490148	3.03705236	0.00238904	0.126012044	170.7809972	417.3146397	541.687116
152	YJR078W	654.4629499	2.309698852	0.529086	4.365451026	1.27E-05	0.003023514	179.7694707	606.6915091	1176.92787
153	YOR011W	509.3816645	1.683782769	0.4734343	3.556529027	0.000375787	0.040303153	205.736172	587.839513	734.569308
154	YLR050C	452.4607692	1.426955787	0.4910624	2.905854461	0.003662518	0.164813291	212.727207	471.2999011	673.355199
155	YDL222C	709.9642403	2.148602074	0.5344282	4.020375608	5.81E-05	0.010105633	215.7233648	629.8280497	1284.341307
156	YOR382W	638.8348463	1.926335708	0.4829371	3.988791908	6.64E-05	0.011167286	222.7143998	688.9547645	1004.835375
157	YBL098W	575.0976012	1.709760166	0.4641022	3.684016207	0.000229588	0.027875404	228.7067155	688.0978556	808.488233
158	YOR028C	467.2573589	1.307644246	0.4978931	2.62635566	0.008630459	0.289255218	235.6977505	705.2360338	460.838293
159	YIL013C	478.9032463	1.262908115	0.4669315	2.704696744	0.006836677	0.249966007	247.6823818	559.5615189	629.465838
160	YNR044W	666.2688307	1.781466231	0.5052552	3.525874016	0.000422088	0.041727194	253.6746975	640.9678655	1104.163929
161	snR161	704.1099319	1.872399081	0.5115428	3.660297915	0.000251922	0.029386626	253.6746975	663.2474972	1195.407601
162	YNR002C	579.2255854	1.52147762	0.4702904	3.235187422	0.001215629	0.085390886	257.6695747	646.109319	833.897863
163	YNL141W	683.2692487	1.568011537	0.5449482	2.877358684	0.004010195	0.175548325	295.6209074	551.8493387	1202.3375
164	YJL033W	619.5948636	1.283496497	0.4869573	2.635747322	0.008395222	0.285837323	316.5940123	610.1191447	932.071434
165	YGL032C	707.1781092	1.488971723	0.5634809	2.642453035	0.008230788	0.281729364	320.5888894	526.9989803	1273.946458
166	YDL223C	783.2792055	1.580356482	0.4510681	3.503587567	0.000459036	0.044087981	336.5683979	942.5998022	1070.669416
167	YOL084W	698.179208	1.374275403	0.4650542	2.955086711	0.003125812	0.151237588	338.5658365	759.2212952	996.750492
168	snR13	790.1830288	1.378605056	0.5242557	2.629642569	0.008547468	0.288978022	382.5094849	1323.924268	664.115334
169	YGL255W	1127.834052	1.77768002	0.5526509	3.216642093	0.001297003	0.085531366	430.4480104	870.6194537	2082.43469
170	YOR383C	1185.089699	1.833626057	0.4483276	4.089924823	4.32E-05	0.008167019	437.4390454	1728.385274	1389.444777
171	YGR201C	1044.997134	1.593936245	0.4440156	3.589820371	0.000330906	0.036091179	445.4287996	1256.228464	1433.334138
172	YCR094W	259.152901	-1.46763082	0.5024987	-2.920665821	0.003492843	0.158661071	451.4211153	181.6646892	144.372899
173	YLR231C	941.2150659	1.381776767	0.480222	2.877370792	0.004010041	0.175548325	454.4172731	922.0339883	1447.193936
174	YBL100W-B	1573.218236	2.171629823	0.452603	4.798089582	1.60E-06	0.000572665	471.3955009	1808.934711	2439.324496
175	YIL101C	1053.558068	1.479561079	0.4975795	2.973516976	0.002944081	0.14573202	480.3839745	967.4501606	1712.84007
176	YKL217W	949.0990074	1.225947505	0.451341	2.71623329	0.006602937	0.247034309	501.3570794	1045.428872	1300.511071
177	YDR154C	924.9031943	1.177578162	0.4447018	2.648017564	0.008096532	0.281628014	502.3557987	1200.529385	1071.8244
178	YOR343W-B	1254.022801	1.597563898	0.4624937	3.454239274	0.000551848	0.049321372	533.3160964	1326.494994	1902.257313
